Dstar_OWNPV_X Dstar_OWNPV_Y Dstar_OWNPV_Z Dstar_ENDVERTEX_X Dstar_ENDVERTEX_Y Dstar_ENDVERTEX_Z D_ENDVERTEX_X D_ENDVERTEX_Y D_ENDVERTEX_Z K_PX K_PY K_PZ Pd_PX Pd_PY Pd_PZ Ps_PX Ps_PY Ps_PZ
0.5035 -0.0248 -24.7095 1.40447044016 0.505957066453 0.413777013513 1.1783 0.377 -5.7651 241.62 718.25 24313.59 3312.61 1329.99 73603.49 332.529365357 227.206929482 9303.84732173
0.5098 0.0205 20.8202 0.528435039631 -0.407986094821 39.4427445303 0.6576 0.011 26.0021 456.64 11.14 7471.12 -867.91 -1350.06 35442.89 13.2623075676 -56.9825526528 2989.18750792
0.4181 -0.0043 14.2468 0.117636227034 -0.338159684975 13.3149923479 0.525 -0.1012 19.7855 1746.45 161.54 21612.31 23.09 871.34 6514.92 45.3719834166 54.0482861475 2202.69989667
0.4479 0.0102 8.9448 -1.92842880212 -1.26457220203 -55.9419225525 0.6209 -0.0324 19.9567 251.4 -437.89 10992.1 1432.75 1252.16 39159.46 82.5759196189 14.8389339748 2688.27111727
0.459 0.0646 81.6619 0.879121901384 0.500855671594 107.268160355 1.0525 0.8612 117.9177 -99.91 698.02 35713.91 1361.84 1934.57 41486.63 50.1840172761 179.688213154 6027.0531866
0.459 0.0646 81.6619 1.47352252309 1.7395271247 143.687579738 1.0525 0.8612 117.9177 -99.91 698.02 35713.91 1361.84 1934.57 41486.63 43.9547647911 140.394479169 4346.28092532
0.3986 0.0097 -14.7584 0.238557475263 0.0195130500503 -13.0830206514 -0.1111 0.1923 -6.027 -2495.55 1713.59 55377.26 -451.28 -255.93 4185.02 -240.481264782 55.0227927171 4692.05918389
0.4213 -0.0221 -4.0607 -1.46111272006 -0.096782085192 8.53119386778 -1.2694 -0.0681 7.1427 -1710.23 370.39 14836.13 -5019.65 -1380.36 33837.76 -640.484656546 -121.041373138 4684.25641514
0.4016 -0.0355 -36.097 -0.486457870253 0.938918443272 -21.5203530769 -0.6641 1.1618 -18.2262 -1306.65 1245.51 29991.56 -1579.8 2397.41 23407.51 -188.301388983 301.812294543 4247.50929253
0.4416 0.0339 22.5102 0.449229861006 0.163703141452 22.7654145067 0.3716 -0.0882 26.6755 -274.19 -2045.29 24415.0 -253.05 307.4 2718.04 -23.8634547812 -183.227725491 2615.47121877
0.4045 -0.0461 -10.5823 -0.0540552219436 -0.220120666527 -25.5033928568 -0.3847 -0.6322 40.3569 -637.25 521.92 21538.33 466.37 -734.39 12470.04 56.1226045895 24.2216115113 3456.68957815
0.4217 0.0464 -41.0026 0.390047277898 -0.0182595987619 -41.4948396519 0.8517 -0.1037 -36.2886 2698.4 128.72 23098.78 1905.29 -1033.56 29100.55 313.169059885 -46.660166532 3955.25697482
0.3969 -0.001 -8.6928 0.221049130672 -1.49549165103 48.5637331851 0.2627 -0.4029 2.9238 778.72 -908.34 46432.76 -859.99 -1165.5 40185.21 -2.27041509058 -181.157913442 5817.54962098
0.4102 0.0097 17.1668 0.124506137673 -0.834988841888 46.0434151706 0.1583 -0.5188 37.0963 -706.07 -755.15 33228.67 545.38 -734.18 8954.31 32.3236587021 -28.1908266518 2278.53636837
0.4601 0.0514 -11.2684 0.46862261862 -0.493845842226 1.3257987752 0.5592 -0.2367 -4.7876 408.46 -347.66 7796.66 -1116.65 -1784.81 42801.01 -43.9120372347 -187.60474558 2875.30159373
0.4703 -0.0039 1.9156 0.80936971114 0.136247547651 -15.4294562966 -0.4681 -0.4856 33.2639 -937.63 200.4 26556.85 -2307.35 -1785.04 97162.63 -182.533700104 -99.745817805 8652.67010518
0.5199 -0.0142 -43.2053 0.63268287962 -0.388356105477 -47.5822149881 0.4906 -0.0407 -36.1203 -868.78 1576.4 36532.77 333.99 -239.76 7336.71 -84.889955699 182.179215083 4061.59016428
